Date,Time,Sensor_ID,State,Temp,Humidity,timestamp,reading_date,reading_hour,temp_humidity_gap
18-11-08,08:40:42.71528,M07,ON,33.9,62.3,2018-11-08 08:40:42.715280,2018-11-08,8,28.4
18-11-08,08:40:43.02165,M01,ON,28.5,54.8,2018-11-08 08:40:43.021650,2018-11-08,8,26.299999999999997
18-11-08,08:40:43.25565,M10,OFF,28.8,50.1,2018-11-08 08:40:43.255650,2018-11-08,8,21.3
18-11-08,08:40:43.546679,M02,OFF,29.4,59.6,2018-11-08 08:40:43.546679,2018-11-08,8,30.200000000000003
18-11-08,08:40:43.878289,M23,ON,33.8,45.2,2018-11-08 08:40:43.878289,2018-11-08,8,11.400000000000006
18-11-08,08:40:44.165829,M06,OFF,31.1,48.7,2018-11-08 08:40:44.165829,2018-11-08,8,17.6
18-11-08,08:40:45.981499,M06,ON,34.1,63.9,2018-11-08 08:40:45.981499,2018-11-08,8,29.799999999999997
18-11-08,08:40:46.955539,M08,OFF,33.3,57.5,2018-11-08 08:40:46.955539,2018-11-08,8,24.200000000000003
18-11-08,08:40:48.86539,M23,OFF,31.4,60.4,2018-11-08 08:40:48.865390,2018-11-08,8,29.0
18-11-08,08:40:50.18487,M08,ON,34.6,52.8,2018-11-08 08:40:50.184870,2018-11-08,8,18.199999999999996
18-11-08,08:40:51.712919,M01,OFF,27.9,66.2,2018-11-08 08:40:51.712919,2018-11-08,8,38.300000000000004
18-11-08,08:40:53.99129,M06,OFF,31.1,47.9,2018-11-08 08:40:53.991290,2018-11-08,8,16.799999999999997
18-11-08,08:40:58.22478,M15,ON,25.0,55.3,2018-11-08 08:40:58.224780,2018-11-08,8,30.299999999999997
18-11-08,08:40:58.54009,M16,ON,30.6,44.6,2018-11-08 08:40:58.540090,2018-11-08,8,14.0
18-11-08,08:40:59.417099,M08,OFF,29.4,58.1,2018-11-08 08:40:59.417099,2018-11-08,8,28.700000000000003
18-11-08,08:41:00.104969,M17,ON,35.1,53.7,2018-11-08 08:41:00.104969,2018-11-08,8,18.6
18-11-08,08:41:00.77424,M06,OFF,31.6,61.0,2018-11-08 08:41:00.774240,2018-11-08,8,29.4
18-11-08,08:41:01.100589,M07,OFF,31.4,49.4,2018-11-08 08:41:01.100589,2018-11-08,8,18.0
18-11-08,08:41:01.463619,M16,OFF,31.0,64.1,2018-11-08 08:41:01.463619,2018-11-08,8,33.099999999999994
18-11-08,08:41:01.661119,M15,OFF,29.6,57.2,2018-11-08 08:41:01.661119,2018-11-08,8,27.6
18-11-08,08:41:03.717979,M17,OFF,30.5,60.8,2018-11-08 08:41:03.717979,2018-11-08,8,30.299999999999997
18-11-08,08:41:35.06553,I06,PRESENT,29.2,42.5,2018-11-08 08:41:35.065530,2018-11-08,8,13.3
18-11-08,08:41:36.31656,I06,ABSENT,30.2,51.9,2018-11-08 08:41:36.316560,2018-11-08,8,21.7
18-11-08,08:42:17.619729,M17,ON,31.1,46.3,2018-11-08 08:42:17.619729,2018-11-08,8,15.199999999999996
18-11-08,08:42:19.81569,M17,OFF,30.4,65.7,2018-11-08 08:42:19.815690,2018-11-08,8,35.300000000000004
18-11-08,08:42:40.317509,M06,ON,32.1,56.8,2018-11-08 08:42:40.317509,2018-11-08,8,24.699999999999996
18-11-08,08:42:42.11522,M06,OFF,24.7,50.6,2018-11-08 08:42:42.115220,2018-11-08,8,25.900000000000002
18-11-08,08:42:43.61888,M06,ON,32.9,59.9,2018-11-08 08:42:43.618880,2018-11-08,8,27.0
18-11-08,08:42:44.11308,M07,ON,26.1,63.2,2018-11-08 08:42:44.113080,2018-11-08,8,37.1
18-11-08,08:42:46.985569,M07,OFF,29.2,54.0,2018-11-08 08:42:46.985569,2018-11-08,8,24.8
18-11-08,08:42:47.30235,M06,OFF,31.2,48.1,2018-11-08 08:42:47.302350,2018-11-08,8,16.900000000000002
18-11-08,08:42:54.021909,M07,ON,32.7,44.9,2018-11-08 08:42:54.021909,2018-11-08,8,12.199999999999996
18-11-08,08:42:56.30274,M06,OFF,30.9,62.7,2018-11-08 08:42:56.302740,2018-11-08,8,31.800000000000004
18-11-08,08:42:57.565,M07,ON,30.4,58.5,2018-11-08 08:42:57.565000,2018-11-08,8,28.1
18-11-08,08:42:58.674089,M07,OFF,31.0,55.1,2018-11-08 08:42:58.674089,2018-11-08,8,24.1
18-11-08,08:43:21.41538,M06,ON,30.0,53.0,2018-11-08 08:43:21.415380,2018-11-08,8,23.0
18-11-08,08:43:22.505539,M06,OFF,33.2,60.7,2018-11-08 08:43:22.505539,2018-11-08,8,27.5
18-11-08,08:43:22.85662,M06,ON,35.1,64.9,2018-11-08 08:43:22.856620,2018-11-08,8,29.800000000000004
18-11-08,08:43:25.0418,M06,OFF,30.4,47.5,2018-11-08 08:43:25.041800,2018-11-08,8,17.1
18-11-08,08:44:40.145279,M07,ON,32.4,56.1,2018-11-08 08:44:40.145279,2018-11-08,8,23.700000000000003
18-11-08,08:44:41.226409,M07,OFF,31.1,61.8,2018-11-08 08:44:41.226409,2018-11-08,8,30.699999999999996
18-11-08,08:44:48.39387,M07,ON,31.0,45.6,2018-11-08 08:44:48.393870,2018-11-08,8,14.600000000000001
18-11-08,08:44:50.355259,M07,OFF,28.2,57.9,2018-11-08 08:44:50.355259,2018-11-08,8,29.7
18-11-08,08:44:58.593869,I04,PRESENT,28.9,50.8,2018-11-08 08:44:58.593869,2018-11-08,8,21.9
18-11-08,08:45:02.78185,I06,PRESENT,30.0,63.4,2018-11-08 08:45:02.781850,2018-11-08,8,33.4
18-11-08,08:45:23.09433,D07,CLOSE,32.3,54.6,2018-11-08 08:45:23.094330,2018-11-08,8,22.300000000000004
18-11-08,08:45:24.55556,M17,ON,27.1,58.7,2018-11-08 08:45:24.555560,2018-11-08,8,31.6
18-11-08,08:45:28.094579,M16,ON,33.6,49.9,2018-11-08 08:45:28.094579,2018-11-08,8,16.299999999999997
18-11-08,08:45:28.428839,M17,OFF,29.3,65.2,2018-11-08 08:45:28.428839,2018-11-08,8,35.900000000000006
18-11-08,08:45:28.753639,M15,ON,30.4,52.3,2018-11-08 08:45:28.753639,2018-11-08,8,21.9
18-11-08,08:45:29.98443,M06,ON,28.4,46.8,2018-11-08 08:45:29.984430,2018-11-08,8,18.4
18-11-08,08:45:31.121249,M16,OFF,27.8,60.1,2018-11-08 08:45:31.121249,2018-11-08,8,32.3
18-11-08,08:45:32.155159,M15,OFF,31.7,55.9,2018-11-08 08:45:32.155159,2018-11-08,8,24.2
18-11-08,08:45:34.51391,M07,ON,33.3,53.4,2018-11-08 08:45:34.513910,2018-11-08,8,20.1
18-11-08,08:45:35.217489,M06,ON,31.7,62.9,2018-11-08 08:45:35.217489,2018-11-08,8,31.2
18-11-08,08:45:35.53303,M06,OFF,29.7,47.2,2018-11-08 08:45:35.533030,2018-11-08,8,17.500000000000004
18-11-08,08:45:36.138449,M07,ON,34.5,59.3,2018-11-08 08:45:36.138449,2018-11-08,8,24.799999999999997
18-11-08,08:45:37.26461,M07,OFF,35.0,64.6,2018-11-08 08:45:37.264610,2018-11-08,8,29.599999999999994
18-11-08,08:49:23.48217,M23,ON,31.9,50.4,2018-11-08 08:49:23.482170,2018-11-08,8,18.5
18-11-08,08:49:23.848109,M01,ON,32.5,56.5,2018-11-08 08:49:23.848109,2018-11-08,8,24.0
18-11-08,08:49:23.98159,M21,OFF,31.0,45.8,2018-11-08 08:49:23.981590,2018-11-08,8,14.799999999999997
18-11-08,08:49:25.304049,M23,OFF,31.6,61.3,2018-11-08 08:49:25.304049,2018-11-08,8,29.699999999999996
18-11-08,08:49:26.03025,M15,ON,27.0,57.7,2018-11-08 08:49:26.030250,2018-11-08,8,30.700000000000003
18-11-08,08:49:26.517119,M16,ON,31.1,63.6,2018-11-08 08:49:26.517119,2018-11-08,8,32.5
18-11-08,08:49:26.85469,D12,OPEN,33.6,52.1,2018-11-08 08:49:26.854690,2018-11-08,8,18.5
18-11-08,08:49:27.69419,M01,OFF,32.0,49.1,2018-11-08 08:49:27.694190,2018-11-08,8,17.1
18-11-08,08:49:28.09379,M17,ON,32.3,65.5,2018-11-08 08:49:28.093790,2018-11-08,8,33.2
