Date,Time,Sensor_ID,State,Temp,Humidity,timestamp,reading_date,reading_hour,temp_humidity_gap,rejection_reason
18-11-08,08:49:45.248859,M18,OFF,30.9,55.5,2018-11-08 08:49:45.248859,2018-11-08,8,24.6,extraneous_column_data
18-11-08,08:49:45.63383,M18,ON,31.6,60.6,2018-11-08 08:49:45.633830,2018-11-08,8,29.0,extraneous_column_data
18-11-08,08:49:48.525609,M17,OFF,31.6,47.7,2018-11-08 08:49:48.525609,2018-11-08,8,16.1,extraneous_column_data
18-11-08,08:49:49.969449,M18,OFF,29.5,64.2,2018-11-08 08:49:49.969449,2018-11-08,8,34.7,extraneous_column_data
18-11-08,08:49:50.763839,M18,ON,31.7,53.9,2018-11-08 08:49:50.763839,2018-11-08,8,22.2,extraneous_column_data
18-11-08,08:49:53.06625,M17,ON,30.1,45.4,2018-11-08 08:49:53.066250,2018-11-08,8,15.299999999999997,extraneous_column_data
18-11-08,08:49:54.015189,M16,ON,26.1,62.5,2018-11-08 08:49:54.015189,2018-11-08,8,36.4,extraneous_column_data
18-11-08,08:49:54.808269,M15,ON,29.5,59.8,2018-11-08 08:49:54.808269,2018-11-08,8,30.299999999999997,extraneous_column_data
18-11-08,08:49:55.183739,M17,OFF,28.0,51.3,2018-11-08 08:49:55.183739,2018-11-08,8,23.299999999999997,extraneous_column_data
18-11-08,08:49:57.276449,M16,OFF,31.2,46.7,2018-11-08 08:49:57.276449,2018-11-08,8,15.500000000000004,extraneous_column_data
18-11-08,08:50:33.925679,M17,ON,28.9,64.7,2018-11-08 08:50:33.925679,2018-11-08,8,35.800000000000004,extraneous_column_data
18-11-08,08:50:39.065759,M17,OFF,34.0,49.2,2018-11-08 08:50:39.065759,2018-11-08,8,15.200000000000003,extraneous_column_data
18-11-08,08:50:45.606699,M17,ON,27.3,45.9,2018-11-08 08:50:45.606699,2018-11-08,8,18.599999999999998,extraneous_column_data
18-11-08,08:50:46.515419,M18,ON,30.5,61.7,2018-11-08 08:50:46.515419,2018-11-08,8,31.200000000000003,extraneous_column_data
18-11-08,08:50:46.98867,M19,ON,31.2,54.5,2018-11-08 08:50:46.988670,2018-11-08,8,23.3,extraneous_column_data
18-11-08,08:50:49.170419,M17,OFF,31.8,58.6,2018-11-08 08:50:49.170419,2018-11-08,8,26.8,extraneous_column_data
18-11-08,08:50:50.07602,M18,OFF,26.7,64.0,2018-11-08 08:50:50.076020,2018-11-08,8,37.3,extraneous_column_data
18-11-08,08:51:20.98532,M14,OFF,32.5,44.7,2018-11-08 08:51:20.985320,2018-11-08,8,12.200000000000003,extraneous_column_data
18-11-08,08:51:21.634929,M14,ON,26.0,63.0,2018-11-08 08:51:21.634929,2018-11-08,8,37.0,extraneous_column_data
18-11-08,08:51:22.0151,M13,ON,31.9,56.7,2018-11-08 08:51:22.015100,2018-11-08,8,24.800000000000004,extraneous_column_data
